"season","page_id","action_number","team_name","team_short_name","home_away_flag","team_name_opp","team_short_name_opp","period_type","period","action_type","sub_type","shot_result","points_scored","x","y","first_name","family_name","scoreboard_name","shirt_number"
2017,681904,7,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","layup",1,2,13,44,"Sara","Blicavs","S. Blicavs",15
2017,681904,10,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","jumpshot",0,0,19,58,"Stephanie","Blicavs","S. Blicavs",8
2017,681904,14,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"3pt","jumpshot",0,0,31,41,"Stephanie","Blicavs","S. Blicavs",8
2017,681904,18,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"3pt","jumpshot",0,0,26,77,"Carley","Mijovic","C. Mijovic",11
2017,681904,22,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"3pt","jumpshot",0,0,28,72,"Tessa","Lavey","T. Lavey",5
2017,681904,25,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","jumpshot",0,0,5,85,"Sara","Blicavs","S. Blicavs",15
2017,681904,29,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","layup",1,2,13,63,"Stephanie","Blicavs","S. Blicavs",8
2017,681904,35,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","jumpshot",0,0,12,47,"Stephanie","Blicavs","S. Blicavs",8
2017,681904,38,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","layup",0,0,8,60,"Stephanie","Blicavs","S. Blicavs",8
2017,681904,41,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","jumpshot",0,0,9,59,"Kayla","Pedersen","K. Pedersen",2
2017,681904,43,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","jumpshot",0,0,8,51,"Sara","Blicavs","S. Blicavs",15
2017,681904,58,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","jumpshot",1,2,10,47,"Sara","Blicavs","S. Blicavs",15
2017,681904,73,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","jumpshot",0,0,12,44,"Carley","Mijovic","C. Mijovic",11
2017,681904,114,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",1,"2pt","jumpshot",0,0,9,60,"Stephanie","Blicavs","S. Blicavs",8
2017,681904,125,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",2,"2pt","jumpshot",0,0,23,34,"Carley","Mijovic","C. Mijovic",11
2017,681904,127,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",2,"2pt","jumpshot",0,0,10,46,"Kayla","Pedersen","K. Pedersen",2
2017,681904,137,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",2,"2pt","jumpshot",0,0,22,60,"Sara","Blicavs","S. Blicavs",15
2017,681904,147,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",2,"2pt","layup",1,2,14,44,"Sara","Blicavs","S. Blicavs",15
2017,681904,156,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",2,"2pt","jumpshot",0,0,14,42,"Carley","Mijovic","C. Mijovic",11
2017,681904,160,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",2,"2pt","layup",1,2,9,42,"Kayla","Pedersen","K. Pedersen",2
2017,681904,179,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",2,"2pt","jumpshot",1,2,23,53,"Kayla","Pedersen","K. Pedersen",2
2017,681904,182,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",2,"3pt","jumpshot",0,0,19,10,"Amelia","Todhunter","A. Todhunter",14
2017,681904,191,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",2,"2pt","jumpshot",1,2,6,17,"Amelia","Todhunter","A. Todhunter",14
2017,681904,213,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",2,"3pt","jumpshot",1,3,27,27,"Sara","Blicavs","S. Blicavs",15
2017,681904,227,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",2,"2pt","jumpshot",0,0,22,70,"Sara","Blicavs","S. Blicavs",15
2017,681904,235,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",2,"2pt","jumpshot",0,0,10,60,"Rachel","Antoniadou","R. Antoniadou",6
2017,681904,238,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",2,"3pt","jumpshot",0,0,22,15,"Amelia","Todhunter","A. Todhunter",14
2017,681904,242,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",2,"2pt","jumpshot",0,0,7,87,"Rachel","Antoniadou","R. Antoniadou",6
2017,681904,275,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",3,"2pt","layup",1,2,91,55,"Tessa","Lavey","T. Lavey",5
2017,681904,289,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",3,"2pt","layup",1,2,88,63,"Stephanie","Blicavs","S. Blicavs",8
2017,681904,292,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",3,"2pt","alleyoop",1,2,92,49,"Sara","Blicavs","S. Blicavs",15
2017,681904,296,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",3,"3pt","jumpshot",1,3,91,98,"Stephanie","Blicavs","S. Blicavs",8
2017,681904,306,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",3,"3pt","jumpshot",0,0,68,35,"Sara","Blicavs","S. Blicavs",15
2017,681904,313,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",3,"2pt","jumpshot",0,0,93,44,"Kayla","Pedersen","K. Pedersen",2
2017,681904,317,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",3,"2pt","jumpshot",0,0,93,61,"Kayla","Pedersen","K. Pedersen",2
2017,681904,320,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",3,"2pt","jumpshot",0,0,80,68,"Carley","Mijovic","C. Mijovic",11
2017,681904,340,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",3,"2pt","jumpshot",0,0,90,12,"Amelia","Todhunter","A. Todhunter",14
2017,681904,342,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",3,"2pt","jumpshot",1,2,89,64,"Carley","Mijovic","C. Mijovic",11
2017,681904,345,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",3,"3pt","jumpshot",0,0,74,14,"Stephanie","Blicavs","S. Blicavs",8
2017,681904,368,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",3,"2pt","jumpshot",0,0,91,43,"Sara","Blicavs","S. Blicavs",15
2017,681904,381,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",3,"3pt","jumpshot",0,0,75,84,"Sara","Blicavs","S. Blicavs",15
2017,681904,389,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",3,"2pt","jumpshot",0,0,86,63,"Sara","Blicavs","S. Blicavs",15
2017,681904,400,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"2pt","jumpshot",0,0,94,38,"Tessa","Lavey","T. Lavey",5
2017,681904,409,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"2pt","jumpshot",0,0,93,57,"Tessa","Lavey","T. Lavey",5
2017,681904,414,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"2pt","jumpshot",1,2,93,48,"Sara","Blicavs","S. Blicavs",15
2017,681904,424,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"3pt","jumpshot",1,3,71,73,"Carley","Mijovic","C. Mijovic",11
2017,681904,428,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"2pt","jumpshot",0,0,93,41,"Kayla","Pedersen","K. Pedersen",2
2017,681904,435,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"2pt","jumpshot",0,0,95,40,"Kayla","Pedersen","K. Pedersen",2
2017,681904,437,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"2pt","jumpshot",1,2,93,51,"Kayla","Pedersen","K. Pedersen",2
2017,681904,444,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"2pt","jumpshot",0,0,93,27,"Carley","Mijovic","C. Mijovic",11
2017,681904,448,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"3pt","jumpshot",0,0,80,11,"Stephanie","Blicavs","S. Blicavs",8
2017,681904,452,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"2pt","layup",1,2,90,58,"Carley","Mijovic","C. Mijovic",11
2017,681904,456,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"2pt","jumpshot",1,2,80,21,"Tessa","Lavey","T. Lavey",5
2017,681904,466,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"2pt","jumpshot",0,0,80,67,"Amelia","Todhunter","A. Todhunter",14
2017,681904,470,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"2pt","jumpshot",0,0,85,59,"Sara","Blicavs","S. Blicavs",15
2017,681904,474,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"2pt","jumpshot",0,0,79,68,"Kayla","Pedersen","K. Pedersen",2
2017,681904,478,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"3pt","jumpshot",1,3,76,14,"Tessa","Lavey","T. Lavey",5
2017,681904,503,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"2pt","jumpshot",0,0,88,41,"Sara","Blicavs","S. Blicavs",15
2017,681904,510,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"2pt","jumpshot",0,0,90,50,"Kayla","Pedersen","K. Pedersen",2
2017,681904,522,"Dandenong Rangers","Rangers","home","Melbourne Boomers","Boomers","REGULAR",4,"3pt","jumpshot",0,0,72,78,"Carley","Mijovic","C. Mijovic",11
